# Format: word_en|hint_en|word_th|hint_th|image_search_terms
Elephant|Trunk|ช้าง|งวง|elephant animal trunk
Armadillo|Ball|อาร์มาดิลโล|บอล|armadillo animal ball
Skunk|Smell|สกั๊งค์|กลิ่น|skunk animal black white
Walrus|Tusk|วอลรัส|เขี้ยว|walrus animal tusks
Seal|Clap|แมวน้ำ|ตบมือ|seal animal ocean
Mole|Dig|ตัวตุ่น|ขุด|mole animal digging
Moose|Antler|กวางมูส|เขา|moose animal antlers
Deer|Bambi|กวาง|แบมบี้|deer animal forest
Buffalo|Horn|ควาย|เขา|buffalo bison animal
Cheetah|Fast|เสือชีตาห์|เร็ว|cheetah animal running
Leopard|Spot|เสือดาว|จุด|leopard animal spots
Hyena|Laugh|ไฮยีน่า|หัวเราะ|hyena animal laughing
Vulture|Dead|อีแร้ง|ตาย|vulture bird scavenger
Crane|Leg|นกกระเรียน|ขา|crane bird standing water
Pigeon|City|นกพิราบ|เมือง|pigeon bird city
Crow|Black|อีกา|ดำ|crow bird black
Seagull|Beach|นกนางนวล|ชายหาด|seagull bird beach
Ladybug|Dot|เต่าทอง|จุด|ladybug insect red
Grasshopper|Jump|ตั๊กแตน|กระโดด|grasshopper insect green
Cricket|Sound|จิ้งหรีด|เสียง|cricket insect brown
Worm|Apple|หนอน|แอปเปิ้ล|earthworm animal dirt
Centipede|Legs|ตะขาบ|ขา|centipede insect legs
Scorpion|Tail|แมงป่อง|หาง|scorpion arachnid sting
Firefly|Light|หิ่งห้อย|แสง|firefly insect glowing
Moth|Lamp|ผีเสื้อกลางคืน|โคมไฟ|moth insect wings
Dragonfly|Wing|แมลงปอ|ปีก|dragonfly insect flying
Wasp|Sting|ตัวต่อ|ต่อย|wasp insect yellow
Termite|Wood|ปลวก|ไม้|termite insect wood
Dinosaur|Extinct|ไดโนเสาร์|สูญพันธุ์|dinosaur t-rex jurassic
Dragon|Fire|มังกร|ไฟ|dragon fantasy fire
Unicorn|Horn|ยูนิคอร์น|เขา|unicorn horse fantasy
Mermaid|Tail|นางเงือก|หาง|mermaid fantasy water
Vampire|Blood|แวมไพร์|เลือด|vampire dracula halloween
Zombie|Brain|ซอมบี้|สมอง|zombie scary halloween
Ghost|Boo|ผี|หลอก|ghost white scary
Werewolf|Moon|มนุษย์หมาป่า|จันทร์|werewolf wolf monster
Alien|UFO|เอเลี่ยน|ยาน|alien grey extraterrestrial
Robot|Metal|หุ่นยนต์|เหล็ก|robot cyborg futuristic
Witch|Broom|แม่มด|ไม้กวาด|witch halloween broom
Goblin|Green|กอบลิน|เขียว|goblin fantasy creature
Troll|Bridge|โทรลล์|สะพาน|troll fantasy monster
Elf|Ear|เอลฟ์|หู|elf fantasy ears
Dwarf|Short|คนแคระ|เตี้ย|dwarf fantasy beard
Giant|Big|ยักษ์|ใหญ่|giant fantasy human
Genie|Lamp|จินนี่|ตะเกียง|genie blue lamp
Mummy|Wrap|มัมมี่|พัน|mummy egypt bandage
Skeleton|Bone|โครงกระดูก|กระดูก|skeleton human bones
Reaper|Scythe|ยมทูต|เคียว|grim reaper scythe
Angel|Halo|นางฟ้า|วงแหวน|angel wings halo
Devil|Horn|ปีศาจ|เขา|devil red horns
Pirate|Ship|โจรสลัด|เรือ|pirate eye patch captain
Ninja|Silent|นินจา|เงียบ|ninja sword japan
Clown|Circus|ตัวตลก|ละครสัตว์|clown makeup circus
Astronaut|Space|นักบินอวกาศ|อวกาศ|astronaut space suit
Doctor|Hospital|หมอ|โรงพยาบาล|doctor uniform stethoscope
Nurse|Needle|พยาบาล|เข็ม|nurse uniform hospital
Police|Badge|ตำรวจ|ตรา|police officer uniform
Firefighter|Hose|นักดับเพลิง|สายยาง|firefighter uniform hose
Teacher|School|ครู|โรงเรียน|teacher classroom blackboard
Student|Book|นักเรียน|หนังสือ|student studying classroom
Chef|Kitchen|เชฟ|ครัว|chef cook hat
Farmer|Field|ชาวนา|ทุ่ง|farmer overalls tractor
Soldier|Gun|ทหาร|ปืน|soldier army uniform
Pilot|Plane|นักบิน|เครื่องบิน|pilot uniform cockpit
Artist|Paint|ศิลปิน|สี|artist painter canvas
Musician|Instrument|นักดนตรี|เครื่องดนตรี|musician playing instrument
Singer|Mic|นักร้อง|ไมค์|singer performing microphone
Judge|Court|ผู้พิพากษา|ศาล|judge gavel robe
Lawyer|Suit|ทนายความ|สูท|lawyer suit court
Scientist|Lab|นักวิทยาศาสตร์|แล็บ|scientist lab coat microscope
Detective|Magnifier|นักสืบ|แว่นขยาย|detective magnifying glass
Dentist|Teeth|หมอฟัน|ฟัน|dentist checking teeth
Vet|Animal|สัตวแพทย์|สัตว์|veterinarian treating dog
Mechanic|Car|ช่างยนต์|รถ|mechanic fixing car
Plumber|Pipe|ช่างประปา|ท่อ|plumber fixing sink
Barber|Hair|ช่างตัดผม|ผม|barber cutting hair
Magician|Trick|นักมายากล|กล|magician hat rabbit
Boxer|Ring|นักมวย|เวที|boxer boxing gloves ring
Pizza|Cheese|พิซซ่า|ชีส|pizza slice cheese pepperoni
Burger|Bun|เบอร์เกอร์|ขนมปัง|hamburger burger cheeseburger
Sushi|Rice|ซูชิ|ข้าว|sushi roll japanese food
Pasta|Italy|พาสต้า|อิตาลี|pasta spaghetti italian food
Ramen|Noodle|ราเมน|เส้น|ramen noodles bowl
Taco|Mexico|ทาโก้|เม็กซิโก|taco mexican food shell
Sandwich|Bread|แซนด์วิช|ขนมปัง|sandwich club bread
Salad|Health|สลัด|สุขภาพ|salad bowl vegetables
Steak|Beef|สเต๊ก|เนื้อ|steak grilled beef meat
Soup|Spoon|ซุป|ช้อน|soup bowl hot
Curry|Spicy|แกง|เผ็ด|curry indian thai food
Rice|Grain|ข้าว|เมล็ด|rice bowl white
Bread|Toast|ขนมปัง|ปิ้ง|bread loaf bakery
Cheese|Yellow|ชีส|เหลือง|cheese block swiss
Butter|Toast|เนย|ปิ้ง|butter stick food
Egg|Shell|ไข่|เปลือก|egg chicken raw
Bacon|Crispy|เบคอน|กรอบ|bacon strips fried
Sausage|Hotdog|ไส้กรอก|ฮอทดอก|sausage grilled bratwurst
Pancake|Syrup|แพนเค้ก|ไซรัป|pancakes stack syrup
Waffle|Grid|วอฟเฟิล|ตาราง|waffle belgian syrup
Donut|Hole|โดนัท|รู|donut glazed sprinkles
Cookie|Chip|คุกกี้|ชิป|cookie chocolate chip
Cake|Birthday|เค้ก|วันเกิด|cake birthday candles
Ice Cream|Cone|ไอศกรีม|โคน|ice cream cone scoop
Chocolate|Bar|ช็อกโกแลต|แท่ง|chocolate bar dark
Candy|Sweet|ลูกอม|หวาน|candy colorful sweets
Popcorn|Movie|ป๊อปคอร์น|หนัง|popcorn bucket movie
Chips|Potato|มันฝรั่งทอด|มัน|potato chips bag
Fries|Ketchup|เฟรนช์ฟรายส์|ซอส|french fries fast food
Yogurt|Spoon|โยเกิร์ต|ช้อน|yogurt cup spoon
Milk|Cow|นม|วัว|milk glass bottle
Coffee|Caffeine|กาแฟ|คาเฟอีน|coffee cup black beans
Tea|Leaf|ชา|ใบ|tea cup herbal
Juice|Orange|น้ำผลไม้|ส้ม|orange juice glass
Soda|Can|โซดา|กระป๋อง|soda can cola
Beer|Foam|เบียร์|ฟอง|beer glass mug
Wine|Grape|ไวน์|องุ่น|wine glass red bottle
Water|Bottle|น้ำ|ขวด|water bottle drink
Apple|Red|แอปเปิ้ล|แดง|apple fruit red
Banana|Peel|กล้วย|เปลือก|banana fruit bunch
Orange|Peel|ส้ม|เปลือก|orange fruit citrus
Grape|Vine|องุ่น|เถา|grapes bunch fruit
Strawberry|Seed|สตรอว์เบอร์รี|เมล็ด|strawberry fruit red
Watermelon|Green|แตงโม|เขียว|watermelon fruit slice
Pineapple|Spike|สับปะรด|หนาม|pineapple fruit tropical
Coconut|Palm|มะพร้าว|ต้น|coconut fruit open
Mango|Yellow|มะม่วง|เหลือง|mango fruit yellow
Durian|Smell|ทุเรียน|กลิ่น|durian fruit thai
Lemon|Sour|เลมอน|เปรี้ยว|lemon fruit yellow
Lime|Green|มะนาว|เขียว|lime fruit green
Cherry|Red|เชอร์รี|แดง|cherry fruit red
Peach|Fuzzy|พีช|ขน|peach fruit fresh
Pear|Green|ลูกแพร์|เขียว|pear fruit green
Avocado|Toast|อะโวคาโด|ปิ้ง|avocado fruit half
Tomato|Ketchup|มะเขือเทศ|ซอส|tomato vegetable red
Potato|Fry|มันฝรั่ง|ทอด|potato raw vegetable
Carrot|Orange|แครอท|ส้ม|carrot vegetable orange
Onion|Tears|หัวหอม|น้ำตา|onion vegetable red white
Garlic|Vampire|กระเทียม|แวมไพร์|garlic bulb vegetable
Mushroom|Mario|เห็ด|มาริโอ้|mushroom vegetable
Corn|Cob|ข้าวโพด|ฝัก|corn on the cob
Broccoli|Tree|บรอกโคลี|ต้นไม้|broccoli vegetable green
Cucumber|Pickle|แตงกวา|ดอง|cucumber vegetable green
Pepper|Spicy|พริก|เผ็ด|chili pepper red spicy
Pumpkin|Halloween|ฟักทอง|ฮาโลวีน|pumpkin vegetable halloween
Ginger|Root|ขิง|ราก|ginger root vegetable
Wasabi|Spicy|วาซาบิ|เผ็ด|wasabi green paste
Tofu|Bean|เต้าหู้|ถั่ว|tofu block white
Dumpling|Fill|เกี๊ยว|ไส้|dumpling chinese food
Croissant|Moon|ครัวซองต์|จันทร์|croissant bakery bread
Bagel|Hole|เบเกิล|รู|bagel cream cheese
Pretzel|Salt|เพรทเซล|เกลือ|pretzel salty snack
Marshmallow|Soft|มาร์ชเมลโล|นุ่ม|marshmallow white fluffy
Lollipop|Lick|อมยิ้ม|เลีย|lollipop candy swirl
Gum|Chew|หมากฝรั่ง|เคี้ยว|chewing gum bubble
Olive|Oil|มะกอก|น้ำมัน|olive oil bottle green
Pickle|Jar|แตงกวาดอง|โหล|pickle cucumber jar
Vinegar|Sour|น้ำส้มสายชู|เปรี้ยว|vinegar bottle apple cider
Soy Sauce|Salty|ซีอิ๊ว|เค็ม|soy sauce bottle pouring
Chilli Sauce|Hot|ซอสพริก|เผ็ด|sriracha chilli sauce
Mayonnaise|White|มายองเนส|ขาว|mayonnaise creamy sauce
Mustard|Yellow|มัสตาร์ด|เหลือง|mustard sauce hot dog
Pad Thai|Noodle|ผัดไทย|เส้น|pad thai noodles food
Som Tum|Papaya|ส้มตำ|มะละกอ|som tum papaya salad
Tom Yum|Shrimp|ต้มยำ|กุ้ง|tom yum soup thai
Mango Sticky Rice|Sweet|ข้าวเหนียวมะม่วง|หวาน|mango sticky rice thai dessert
Vegemite|Toast|เวจิไมต์|ขนมปัง|vegemite jar toast
Bubble Tea|Pearl|ชานมไข่มุก|ไข่มุก|bubble tea boba drink
Smoothie|Fruit|สมูทตี้|ผลไม้|smoothie fruit drink
Milkshake|Sweet|มิลค์เชค|หวาน|milkshake drink glass
Cola|Black|โคล่า|ดำ|cola drink soda glass
Lemonade|Sour|น้ำมะนาว|เปรี้ยว|lemonade drink glass
Energy Drink|Awake|เครื่องดื่มชูกำลัง|ตื่น|energy drink can
Nachos|Cheese|นาโชส์|ชีส|nachos chips cheese mexican
Burrito|Wrap|เบอร์ริโต้|ห่อ|burrito mexican food
Guacamole|Avocado|กัวคาโมเล|อะโวคาโด|guacamole dip avocado
Salsa|Dip|ซัลซ่า|จิ้ม|salsa dip tomato
Dim Sum|Basket|ติ่มซำ|เข่ง|dim sum basket chinese
Spring Roll|Fried|ปอเปี๊ยะ|ทอด|spring roll fried food
Kebab|Skewer|เคบับ|ไม้เสียบ|kebab meat skewer
Falafel|Chickpea|ฟลาเฟล|ถั่ว|falafel balls food
Udon|Thick|อูด้ง|หนา|udon noodles soup
Sashimi|Raw|ซาชิมิ|ดิบ|sashimi raw fish sushi
Mochi|Rice|โมจิ|แป้ง|mochi japanese dessert
Macaron|French|มาการอง|ฝรั่งเศส|macaron french pastry colorful
Cheesecake|Soft|ชีสเค้ก|นุ่ม|cheesecake slice dessert
Tiramisu|Coffee|ทีรามิสุ|กาแฟ|tiramisu cake italian
Brownie|Chocolate|บราวนี่|ช็อกโกแลต|brownie chocolate square
Cupcake|Frosting|คัพเค้ก|ครีม|cupcake dessert frosted
Muffin|Top|มัฟฟิน|บน|muffin blueberry bakery
Baguette|Long|บาเก็ต|ยาว|baguette bread french
Churro|Sugar|ชูโรส|น้ำตาล|churro fried dough sugar
Gummy Bear|Chewy|เยลลี่หมี|เคี้ยว|gummy bears candy
Cotton Candy|Fluff|สายไหม|ฟู|cotton candy carnival pink
Jelly|Wiggle|เยลลี่|ดึ๋ง|jelly gelatin dessert
Pudding|Spoon|พุดดิ้ง|ช้อน|pudding dessert cup
Oreo|Milk|โอรีโอ|นม|oreo cookie milk
KitKat|Break|คิทแคท|พัก|kitkat chocolate bar
Nutella|Hazelnut|นูเทลล่า|ถั่ว|nutella hazelnut spread
Peanut Butter|Jam|เนยถั่ว|แยม|peanut butter jar toast
Syrup|Maple|ไซรัป|เมเปิ้ล|maple syrup pancakes
BBQ Sauce|Ribs|ซอสบาร์บีคิว|ซี่โครง|bbq sauce ribs
Hammer|Nail|ค้อน|ตะปู|hammer tool nail
Screwdriver|Turn|ไขควง|หมุน|screwdriver tool hand
Saw|Wood|เลื่อย|ไม้|hand saw tool wood
Axe|Chop|ขวาน|สับ|axe wood chopping
Shovel|Dig|พลั่ว|ขุด|shovel tool gardening
Rake|Leaf|คราด|ใบไม้|rake tool leaves
Ladder|Climb|บันได|ปีน|ladder construction step
Rope|Tie|เชือก|ผูก|rope knot string
Chain|Metal|โซ่|เหล็ก|chain metal links
Whistle|Blow|นกหวีด|เป่า|whistle sports referee
Bell|Ring|ระฆัง|สั่น|bell gold ringing
Wrench|Bolt|ประแจ|น็อต|wrench tool bolt
Pliers|Grip|คีม|จับ|pliers tool handyman
Drill|Hole|สว่าน|รู|power drill tool
Tape Measure|Length|ตลับเมตร|ยาว|tape measure tool
Level|Straight|ระดับน้ำ|ตรง|spirit level tool
Car|Wheel|รถยนต์|ล้อ|car sedan vehicle
Truck|Load|รถบรรทุก|ขน|truck lorry transport
Bus|Stop|รถเมล์|ป้าย|bus city transport
Train|Track|รถไฟ|ราง|train locomotive railway
Subway|Under|รถไฟใต้ดิน|ใต้|subway train metro
Airplane|Wing|เครื่องบิน|ปีก|airplane flying sky
Helicopter|Blade|เฮลิคอปเตอร์|ใบพัด|helicopter flying sky
Boat|Sail|เรือ|ใบ|boat sailing water
Ship|Sea|เรือเดินสมุทร|ทะเล|cruise ship ocean
Submarine|Underwater|เรือดำน้ำ|ใต้น้ำ|submarine underwater
Bicycle|Pedal|จักรยาน|ถีบ|bicycle bike cycling
Motorcycle|Helmet|มอเตอร์ไซค์|หมวก|motorcycle motorbike vehicle
Scooter|Kick|สกู๊ตเตอร์|เตะ|kick scooter vehicle
Skateboard|Ramp|สเกตบอร์ด|เนิน|skateboard skating
Taxi|Cab|แท็กซี่|มิเตอร์|taxi cab yellow car
Ambulance|Siren|รถพยาบาล|ไซเรน|ambulance vehicle emergency
Police Car|Blue|รถตำรวจ|ฟ้า|police car vehicle siren
Fire Truck|Red|รถดับเพลิง|แดง|fire truck vehicle red
Tractor|Farm|รถแทรกเตอร์|ฟาร์ม|tractor farm vehicle
Tank|Army|รถถัง|กองทัพ|military tank army
Rocket|Space|จรวด|อวกาศ|rocket launch space
Garbage Truck|Trash|รถขยะ|ขยะ|garbage truck trash
Bulldozer|Push|รถเกลี่ยดิน|ดัน|bulldozer construction
Crane|Lift|ปั้นจั่น|ยก|construction crane machine
Forklift|Box|รถยก|กล่อง|forklift warehouse truck
Limousine|Long|ลีมูซีน|ยาว|limousine car luxury
Sled|Snow|เลื่อน|หิมะ|sled snow winter
Segway|Balance|เซกเวย์|ทรงตัว|segway vehicle electric
Parachute|Jump|ร่มชูชีพ|กระโดด|parachute skydiving
Canoe|Paddle|เรือแคนู|พาย|canoe boat paddle
Yacht|Rich|เรือยอชต์|รวย|yacht boat luxury
Tuk-tuk|Taxi|รถตุ๊กตุ๊ก|แท็กซี่|tuk tuk thailand vehicle
Ute|Car|รถกระบะ|รถ|pickup truck car
Hospital|Sick|โรงพยาบาล|ป่วย|hospital building medical
School|Learn|โรงเรียน|เรียน|school building class
University|Degree|มหาวิทยาลัย|ปริญญา|university campus building
Library|Quiet|ห้องสมุด|เงียบ|library books shelves
Museum|Art|พิพิธภัณฑ์|ศิลปะ|museum art gallery
Cinema|Popcorn|โรงหนัง|ป๊อปคอร์น|cinema movie theater seats
Stadium|Sport|สนามกีฬ|กีฬา|stadium sports arena
Gym|Weights|ยิม|ยกน้ำหนัก|gym workout equipment
Park|Bench|สวนสาธารณะ|ม้านั่ง|park trees bench nature
Zoo|Cage|สวนสัตว์|กรง|zoo entrance animals
Aquarium|Fish|พิพิธภัณฑ์สัตว์น้ำ|ปลา|aquarium tunnel fish
Beach|Sand|ชายหาด|ทราย|beach ocean sand tropical
Mountain|Climb|ภูเขา|ปีน|mountain peak nature
Volcano|Lava|ภูเขาไฟ|ลาวา|volcano erupting lava
Desert|Cactus|ทะเลทราย|กระบองเพชร|desert sand dunes
Forest|Trees|ป่า|ต้นไม้|forest trees nature
Jungle|Wild|ป่าดิบ|ป่า|jungle tropical rain forest
Island|Ocean|เกาะ|มหาสมุทร|island tropical ocean
Cave|Dark|ถ้ำ|มืด|cave entrance rock
Waterfall|Wet|น้ำตก|เปียก|waterfall nature river
River|Flow|แม่น้ำ|ไหล|river water nature
Lake|Water|ทะเลสาบ|น้ำ|lake water nature
Ocean|Salt|มหาสมุทร|เค็ม|ocean waves sea water
Space|Star|อวกาศ|ดาว|outer space stars galaxy
Moon|Crater|ดวงจันทร์|หลุม|moon full night sky
Sun|Heat|ดวงอาทิตย์|ร้อน|sun bright sky
Star|Twinkle|ดาว|วิบวับ|star shape night sky
Planet|Orbit|ดาวเคราะห์|วงโคจร|planet saturn earth
Earth|Home|โลก|บ้าน|earth globe planet space
Mars|Red|ดาวอังคาร|แดง|mars planet red
Cloud|Rain|เมฆ|ฝน|cloud sky nature
Rain|Umbrella|ฝน|ร่ม|rain falling weather
Snow|Cold|หิมะ|หนาว|snow winter weather white
Ice|Slip|น้ำแข็ง|ลื่น|ice cubes frozen
Wind|Blow|ลม|พัด|windy weather trees blowing
Storm|Thunder|พายุ|ฟ้าผ่า|storm lightning weather
Rainbow|Color|รุ้ง|สี|rainbow sky colorful
Tornado|Spin|พายุทอร์นาโด|หมุน|tornado storm weather
Earthquake|Shake|แผ่นดินไหว|สั่น|earthquake ground crack
Tsunami|Wave|สึนามิ|คลื่น|tsunami big wave ocean
Fire|Burn|ไฟ|ไหม้|fire flames burning
House|Roof|บ้าน|หลังคา|house home building
Apartment|Floor|อพาร์ตเมนต์|ชั้น|apartment building exterior
Hotel|Room|โรงแรม|ห้อง|hotel building luxury
Tent|Camp|เต็นท์|แคมป์|tent camping outdoors
Igloo|Eskimo|อิกลู|เอสกิโม|igloo snow house
Castle|King|ปราสาท|ราชา|castle medieval building
Pyramid|Mummy|พีระมิด|มัมมี่|pyramid egypt giza
Bridge|Cross|สะพาน|ข้าม|bridge golden gate
Tower|High|หอคอย|สูง|tower skyscraper building
Farm|Animal|ฟาร์ม|สัตว์|farm barn agriculture rural
City|Traffic|เมือง|จราจร|city skyline skyscrapers
Village|Small|หมู่บ้าน|เล็ก|village cottages rural
Market|Sell|ตลาด|ขาย|market stalls fresh food
Mall|Shop|ห้าง|ร้าน|shopping mall interior
Bank|Money|ธนาคาร|เงิน|bank building finance
Post Office|Mail|ไปรษณีย์|จดหมาย|post office building mail
Restaurant|Menu|ร้านอาหาร|เมนู|restaurant dining table
Bakery|Bread|เบเกอรี่|ขนมปัง|bakery bread display
Pharmacy|Drug|ร้านขายยา|ยา|pharmacy store medicine
Lighthouse|Sea|ประภาคาร|ทะเล|lighthouse ocean coast
Windmill|Wind|กังหันลม|ลม|windmill traditional holland
Barn|Farm|โรงนา|ฟาร์ม|barn red farm building
Garage|Car|โรงรถ|รถ|garage car home
Chimney|Smoke|ปล่องไฟ|ควัน|chimney brick roof smoke
Fence|Wall|รั้ว|กั้น|fence wood picket
Gate|Open|รั้วประตู|เปิด|gate garden metal
Stairs|Step|บันได|ขั้น|stairs staircase indoor
Elevator|Lift|ลิฟต์|ยก|elevator doors lift
Escalator|Move|บันไดเลื่อน|เลื่อน|escalator shopping mall
Balcony|View|ระเบียง|วิว|balcony apartment terrace
Attic|Top|ห้องใต้หลังคา|บน|attic room roof
Basement|Down|ห้องใต้ดิน|ล่าง|basement room dark
Prison|Jail|คุก|ขัง|prison jail bars cell
Casino|Money|คาสิโน|เงิน|casino interior slot machines
Factory|Smoke|โรงงาน|ควัน|factory industrial building smoke
Barbershop|Cut|ร้านตัดผม|ตัด|barbershop chair pole
Spa|Relax|สปา|พัก|spa massage relax
Sauna|Steam|ซาวน่า|ไอน้ำ|sauna wooden room steam
Temple|Gold|วัด|ทอง|temple buddhist thai
Spirit House|Ghost|ศาลพระภูมิ|ผี|spirit house thai traditional
Chair|Sit|เก้าอี้|นั่ง|chair furniture wooden
Table|Eat|โต๊ะ|กิน|table dining wooden
Sofa|Couch|โซฟา|เบาะ|sofa living room furniture
Bed|Pillow|เตียง|หมอน|bed bedroom furniture
Lamp|Light|โคมไฟ|ไฟ|lamp desk light
Fan|Blade|พัดลม|ใบพัด|electric fan cooling
Aircon|Cool|แอร์|เย็น|air conditioner wall unit
Fridge|Cold|ตู้เย็น|เย็น|refrigerator kitchen appliance
Oven|Bake|เตาอบ|อบ|oven kitchen appliance
Microwave|Heat|ไมโครเวฟ|ร้อน|microwave kitchen appliance
Toaster|Bread|เครื่องปิ้ง|ขนมปัง|toaster kitchen appliance bread
Blender|Mix|เครื่องปั่น|ผสม|blender kitchen appliance smoothie
Kettle|Boil|กาต้มน้ำ|ต้ม|electric kettle boiling water
Pot|Lid|หม้อ|ฝา|cooking pot kitchen
Pan|Fry|กระทะ|ทอด|frying pan kitchen skillet
Knife|Cut|มีด|ตัด|knife kitchen chef
Spoon|Soup|ช้อน|ซุป|spoon cutlery silver
Fork|Stab|ส้อม|จิ้ม|fork cutlery silver
Plate|Dish|จาน|อาหาร|plate dinner dish white
Cup|Mug|ถ้วย|แก้ว|cup mug coffee
Glass|Drink|แก้ว|ดื่ม|drinking glass empty
Bottle|Cap|ขวด|ฝา|glass bottle empty
Trash Can|Bin|ถังขยะ|ถัง|trash can bin rubbish
Broom|Sweep|ไม้กวาด|กวาด|broom sweeping floor
Mop|Bucket|ไม้ถูพื้น|ถัง|mop and bucket cleaning
Vacuum|Dust|เครื่องดูดฝุ่น|ฝุ่น|vacuum cleaner appliance
Iron|Flat|เตารีด|เรียบ|clothes iron appliance
Washing Machine|Clothes|เครื่องซักผ้า|เสื้อผ้า|washing machine laundry
Television|Remote|ทีวี|รีโมท|television screen tv
Computer|Keyboard|คอมพิวเตอร์|คีย์บอร์ด|desktop computer pc monitor
Laptop|Portable|แล็ปท็อป|พกพา|laptop computer notebook
Tablet|Screen|แท็บเล็ต|จอ|tablet computer screen ipad
Phone|App|มือถือ|แอป|smartphone mobile phone
Camera|Photo|กล้อง|รูป|camera dslr photography
Headphones|Ear|หูฟัง|หู|headphones music audio
Speaker|Sound|ลำโพง|เสียง|audio speaker music
Microphone|Voice|ไมโครโฟน|เสียง|microphone recording singing
Radio|Signal|วิทยุ|สัญญาณ|radio vintage audio
Clock|Tick|นาฬิกา|เข็ม|clock wall analog time
Watch|Wrist|นาฬิกาข้อมือ|ข้อมือ|wristwatch time analog
Battery|Charge|แบตเตอรี่|ชาร์จ|battery aa power
Flashlight|Beam|ไฟฉาย|ลำแสง|flashlight torch light
Umbrella|Rain|ร่ม|ฝน|umbrella rain open
Wallet|Cash|กระเป๋าตังค์|สด|wallet leather money
Key|Lock|กุญแจ|ล็อก|key house car metal
